season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2022,3857254,2022-11-22,13:00:00.000,group,Group Stage,0,Denmark,Tunisia,D,D,Kasper Hjulmand,Jalel Kadri,Denmark,Tunisia,0,0,0-0,1,Education City Stadium ,Qatar,César Arturo Ramos Palazuelos
2022,3857265,2022-11-22,16:00:00.000,group,Group Stage,0,Mexico,Poland,C,C,Gerardo Martino,Czesław Michniewicz,Mexico,Poland,0,0,0-0,1,Stadium 974,Qatar,Chris Beath
2022,3857279,2022-11-22,19:00:00.000,group,Group Stage,0,France,Australia,D,D,Didier Deschamps,Graham James Arnold,France,Australia,4,1,4-1,0,Al Janoub Stadium   ,Qatar,Victor Miguel de Freitas Gomes
2022,3857277,2022-11-23,10:00:00.000,group,Group Stage,0,Morocco,Croatia,,F,Walid Regragui,Zlatko Dalić,Morocco,Croatia,0,0,0-0,1,Al Bayt Stadium,Qatar,Fernando Andrés Rapallini
2022,3857284,2022-11-23,13:00:00.000,group,Group Stage,0,Germany,Japan,E,E,Hans-Dieter Flick,Hajime Moriyasu,Germany,Japan,1,2,1-2,2,Sheikh Khalifa International Stadium,Qatar,Ivan Arcides Barton Cisneros
2022,3857291,2022-11-23,16:00:00.000,group,Group Stage,0,Spain,Costa Rica,E,E,Luis Enrique,Luis Fernando Suárez,Spain,Costa Rica,7,0,7-0,0,Al Thumama Stadium,Qatar,
2022,3857268,2022-11-23,19:00:00.000,group,Group Stage,0,Belgium,Canada,F,F,Roberto Martínez,John Herdman,Belgium,Canada,1,0,1-0,0,Ahmad bin Ali Stadium,Qatar,Janny Sikazwe
2022,3857290,2022-11-24,10:00:00.000,group,Group Stage,0,Switzerland,Cameroon,G,G,Murat Yakin,Rigobert Song Bahanag,Switzerland,Cameroon,1,0,1-0,0,Al Janoub Stadium   ,Qatar,Facundo Tello Figueroa
2022,3857287,2022-11-24,13:00:00.000,group,Group Stage,0,Uruguay,South Korea,H,H,Diego Alonso,Paulo Bento,Uruguay,Korea (South),0,0,0-0,1,Education City Stadium ,Qatar,Clément Turpin
2022,3857298,2022-11-24,16:00:00.000,group,Group Stage,0,Portugal,Ghana,H,H,Fernando Santos,Otto Addo,Portugal,Ghana,3,2,3-2,0,Stadium 974,Qatar,Ismail Elfath
2022,3857258,2022-11-24,19:00:00.000,group,Group Stage,0,Brazil,Serbia,G,G,Tite,Dragan Stojković,Brazil,Serbia,2,0,2-0,0,Lusail Stadium,Qatar,Alireza Faghani
2022,3857273,2022-11-25,10:00:00.000,group,Group Stage,0,Wales,Iran,B,B,Robert Page,Carlos Queiroz,Wales,"Iran, Islamic Republic of",0,2,0-2,2,Ahmad bin Ali Stadium,Qatar,Mario Alberto Escobar Toca
2022,3857301,2022-11-25,13:00:00.000,group,Group Stage,0,Qatar,Senegal,A,A,Félix Sánchez,Aliou Cissé,Qatar,Senegal,1,3,1-3,2,Al Thumama Stadium,Qatar,Antonio Miguel Mateu Lahoz
2022,3857274,2022-11-25,16:00:00.000,group,Group Stage,0,Netherlands,Ecuador,A,A,Louis van Gaal,Gustavo Alfaro,Netherlands,Ecuador,1,1,1-1,1,Sheikh Khalifa International Stadium,Qatar,Mustapha Ghorbal
2022,3857272,2022-11-25,19:00:00.000,group,Group Stage,0,England,United States,B,B,Gareth Southgate,Gregg Berhalter,England,United States of America,0,0,0-0,1,Al Bayt Stadium,Qatar,Jesús Valenzuela Sáez
2022,3857288,2022-11-26,10:00:00.000,group,Group Stage,0,Tunisia,Australia,D,D,Jalel Kadri,Graham James Arnold,Tunisia,Australia,0,1,0-1,2,Al Janoub Stadium   ,Qatar,Daniel Siebert
2022,3857297,2022-11-26,13:00:00.000,group,Group Stage,0,Poland,Saudi Arabia,C,C,Czesław Michniewicz,Hervé Renard,Poland,Saudi Arabia,2,0,2-0,0,Education City Stadium ,Qatar,Wilton Pereira Sampaio
2022,3857266,2022-11-26,16:00:00.000,group,Group Stage,0,France,Denmark,D,D,Didier Deschamps,Kasper Hjulmand,France,Denmark,2,1,2-1,0,Stadium 974,Qatar,Szymon Marciniak
2022,3857289,2022-11-26,19:00:00.000,group,Group Stage,0,Argentina,Mexico,C,C,Lionel Sebastián Scaloni,Gerardo Martino,Argentina,Mexico,2,0,2-0,0,Lusail Stadium,Qatar,Daniele Orsato
2022,3857295,2022-11-27,10:00:00.000,group,Group Stage,0,Japan,Costa Rica,E,E,Hajime Moriyasu,Luis Fernando Suárez,Japan,Costa Rica,0,1,0-1,2,Ahmad bin Ali Stadium,Qatar,Michael Oliver
2022,3857283,2022-11-27,13:00:00.000,group,Group Stage,0,Belgium,Morocco,F,,Roberto Martínez,Walid Regragui,Belgium,Morocco,0,2,0-2,2,Al Thumama Stadium,Qatar,César Arturo Ramos Palazuelos
2022,3857281,2022-11-27,16:00:00.000,group,Group Stage,0,Croatia,Canada,F,F,Zlatko Dalić,John Herdman,Croatia,Canada,4,1,4-1,0,Sheikh Khalifa International Stadium,Qatar,Andrés Matonte
2022,3857263,2022-11-27,19:00:00.000,group,Group Stage,0,Spain,Germany,E,E,Luis Enrique,Hans-Dieter Flick,Spain,Germany,1,1,1-1,1,Al Bayt Stadium,Qatar,Danny Desmond Makkelie
